iter	RMSE
122	0.2535191525
123	0.2501248772
124	0.2467870753
125	0.243676652
126	0.2408284748
127	0.2379872787
128	0.2356597961
129	0.2337095008
130	0.23137348
131	0.2282242383
132	0.224994588
133	0.2224567664
134	0.2209865501
135	0.2191173495
136	0.2174418782
137	0.2147726211
138	0.2128911664
139	0.2105797668
140	0.2092350902
141	0.2069938277
142	0.2055889537
143	0.2037988071
144	0.2020480212
145	0.2000752123
146	0.198338948
147	0.1963789067
148	0.1945514329
149	0.192902927
150	0.1915209405
151	0.190404957
152	0.1890333721
153	0.1871334543
154	0.1855498653
155	0.1841144616
156	0.1824891228
157	0.1811559122
158	0.1795901729
159	0.1785355336
160	0.1768056936
161	0.1755914722
162	0.1741939411
163	0.1731503104
164	0.1721773576
165	0.1706115199
166	0.1690065701
167	0.1673883077
168	0.1662528868
169	0.165548909
170	0.164608727
171	0.1630356893
172	0.1616210945
173	0.1606614887
174	0.1595479808
175	0.158266206
176	0.1572885087
177	0.1558486109
178	0.1547726858
179	0.153589686
180	0.1527077171
181	0.1517727567
182	0.1511162178
183	0.1503012977
184	0.1495417524
185	0.1485434841
186	0.1477819462
187	0.1466500874
188	0.1460004185
189	0.1451674142
190	0.1441584051
191	0.1433094645
192	0.1425467209
193	0.1418399181
194	0.1412807848
195	0.1405817467
196	0.1397771333
197	0.1385490883
198	0.1378887174
199	0.1372792999
200	0.136634863
201	0.1360393871
202	0.1353600688
203	0.134763091
204	0.1341700421
205	0.1332082134
206	0.1326611435
207	0.1319560743
208	0.1314402116
209	0.1309837083
210	0.1300492413
211	0.1294237663
212	0.1288925836
213	0.1282819001
214	0.1278301295
215	0.1272583391
216	0.1261861476
217	0.1251517678
218	0.1242650803
219	0.1236968171
220	0.1231635962
221	0.1223861004
222	0.1219844014
223	0.1214455066
224	0.1206202701
225	0.1202134956
226	0.1196992782
227	0.1188248287
228	0.118331315
229	0.1178834637
230	0.1172354812
231	0.1164587191
232	0.1157428267
233	0.1149892763
234	0.1144821223
235	0.1140857821
236	0.1134798882
237	0.112925593
238	0.1122876887
239	0.1118844058
240	0.1114372977
241	0.111072483
242	0.110653997
243	0.11023302
244	0.1094861478
245	0.1090569211
246	0.108279288
247	0.1075394727
248	0.1070976452
249	0.1066823445
250	0.1063323363
251	0.1058357781
252	0.1051981684
253	0.1045453539
254	0.1040513718
255	0.103668891
256	0.103132911
257	0.1026668334
258	0.1022673781
259	0.1018972464
260	0.1012536253
261	0.1010226323
262	0.1006685389
263	0.1003143373
264	0.100000774
265	0.09951530838
266	0.09908596852
267	0.09860731598
268	0.09807091274
269	0.09755887719
270	0.09726928631
271	0.09688719126
272	0.09659704127
273	0.09617455124
274	0.09577476531
275	0.09538494574
276	0.09503153079
277	0.09451840709
278	0.09417417097
279	0.0938799786
280	0.09358533323
281	0.093193056
282	0.0927529139
283	0.0922824637
284	0.09179941974
285	0.09122648813
286	0.09088535502
287	0.09038161063
288	0.09007102025
289	0.08971392957
290	0.08937207571
291	0.08894680871
292	0.08857665033
293	0.08819355701
294	0.08799771973
295	0.08766135629
296	0.08735111993
297	0.08710215075
298	0.08685220342
299	0.08647333312
300	0.08601221272
301	0.08568431584
302	0.08522454717
303	0.08492200527
304	0.08469147628
305	0.08422844935
306	0.08395837713
307	0.08365152361
308	0.08341344837
309	0.08287332485
310	0.08254097517
311	0.08208819553
312	0.08179294993
313	0.08142430524
314	0.0811285161
315	0.08081929548
316	0.08053874609
317	0.08027301213
318	0.08006781978
319	0.07982722624
320	0.07951786204
321	0.07916730432
322	0.07893373889
323	0.07865195908
324	0.0783414337
325	0.07799806595
326	0.07777117487
327	0.07738975134
328	0.07710542142
329	0.07683364207
330	0.07665729614
331	0.07643700554
332	0.07626333652
333	0.0760175959
334	0.07560315911
335	0.07524526247
336	0.0749428547
337	0.07473350397
338	0.07445958682
339	0.0742745797
340	0.07393541574
341	0.07372890824
342	0.07335767491
343	0.07311451515
344	0.07282682866
345	0.07264649176
346	0.07243080892
347	0.0721946169
348	0.07182403279
349	0.07155741492
350	0.07124350626
351	0.07107003987
352	0.07076595098
353	0.07055405205
354	0.07021749203
355	0.06998321457
356	0.06980626271
357	0.06966190656
358	0.06935006153
359	0.06908919568
360	0.06879226729
361	0.06854251229
362	0.06822894459
363	0.06799142776
364	0.06773174907
365	0.06740010119
366	0.06720187134
367	0.06697678048
368	0.06660119982
369	0.06632796171
370	0.06604154453
371	0.06584301873
372	0.0655836819
373	0.06530785343
374	0.06514977649
375	0.06494101083
376	0.0646569183
377	0.06452007163
378	0.06421642811
379	0.0639205314
380	0.06373977286
381	0.06360006066
382	0.06335226316
383	0.06310777042
384	0.06294649364
385	0.06280604816
386	0.06255350079
387	0.06234814881
388	0.06195918156
389	0.06176194041
390	0.0615921018
391	0.06140769032
392	0.06125581745
393	0.06103321684
394	0.06089528723
395	0.06075611613
396	0.06059978374
397	0.06042503401
398	0.0601850854
399	0.06000974839
400	0.05967482543
401	0.05941344348
402	0.05917670259
403	0.05892438711
404	0.05872149019
405	0.05854130025
406	0.05837999027
407	0.05816384408
408	0.057931917
409	0.05777734395
410	0.05759763651
411	0.0573826382
412	0.05709669827
413	0.05691615138
414	0.05677575149
415	0.05656651894
416	0.05622725387
417	0.05608753323
418	0.05590747518
419	0.05578216813
420	0.05554524116
421	0.05540500089
422	0.05528203364
423	0.05513314469
424	0.05495970175
425	0.05482146477
426	0.05452053678
427	0.05435289262
428	0.05420485119
429	0.05400042315
430	0.05384815861
431	0.05367365495
432	0.0535339193
433	0.05333607039
434	0.05309495233
435	0.05303857192
436	0.05281965838
437	0.05263745932
438	0.05241227622
439	0.05223881094
440	0.05211458488
441	0.05184664372
442	0.05165979188
443	0.05150021912
444	0.0513184533
445	0.05117155714
446	0.05102128198
447	0.05082514245
448	0.0506318235
449	0.05046147864
450	0.05031811918
451	0.05022546829
452	0.05010102861
453	0.04995358288
454	0.04976258541
455	0.04960233284
456	0.04936910844
457	0.04920079454
458	0.04894695824
459	0.0488936629
460	0.04873553672
461	0.04869580857
462	0.04854691912
463	0.04839238229
464	0.04815246993
465	0.04795068382
466	0.04774973934
467	0.04759386277
468	0.04742072592
469	0.04721752296
470	0.04711089466
471	0.04697936578
472	0.04683037516
473	0.04668465185
474	0.04663048038
475	0.04644274563
476	0.04629161235
477	0.04613453585
478	0.04596137835
479	0.04581731187
480	0.04565204629
481	0.04552313608
482	0.04537855865
483	0.04515456777
484	0.04492970583
485	0.04475831096
486	0.04472362148
487	0.04454918666
488	0.04440771079
489	0.04427268397
490	0.04411124163
491	0.04397760078
492	0.04375241113
493	0.04369489045
494	0.04357585894
495	0.04344674764
496	0.04339477095
497	0.04327339712
498	0.04313541093
499	0.0430564169
