Feature,Importance
Historical_Disruption_Count,52.703932143014185
Delay_Days,36.734041052642766
Supply_Risk_Flag,3.1914729582007797
total_lead_time,2.8702867327182555
transit_time_days,1.1411662786568995
Disruption_Type,0.32160227341453473
gnn_emb_1,0.233149307090097
Federated_Round,0.16567860759351866
gnn_emb_50,0.15437430482200531
Quantity_Ordered,0.13937751054941408
Supplier_ID,0.12427291277343512
gnn_emb_53,0.11825797150323841
Shipping_Mode,0.1160782680179619
gnn_emb_17,0.1127257867688043
Organization_ID,0.10931666419841485
gnn_emb_18,0.10299633651133167
Energy_Consumption_Joules,0.09007090050799069
gnn_emb_35,0.08451422589608125
Order_ID,0.08305797098720823
Available_Historical_Records,0.08192094751527158
